date,areaName,admissions,admissionsRollingRate,patients,patientsMv
2020-01-03,Scotland,,0,,
2020-01-04,Scotland,,0,,
2020-01-05,Scotland,,0,,
2020-01-06,Scotland,,0,,
2020-01-07,Scotland,,0,,
2020-01-08,Scotland,,0,,
2020-01-09,Scotland,,0,,
2020-01-10,Scotland,,0,,
2020-01-11,Scotland,,0,,
2020-01-12,Scotland,,0,,
2020-01-13,Scotland,,0,,
2020-01-14,Scotland,,0,,
2020-01-15,Scotland,,0,,
2020-01-16,Scotland,,0,,
2020-01-17,Scotland,,0,,
2020-01-18,Scotland,,0,,
2020-01-19,Scotland,,0,,
2020-01-20,Scotland,,0,,
2020-01-21,Scotland,,0,,
2020-01-22,Scotland,,0,,
2020-01-23,Scotland,,0,,
2020-01-24,Scotland,,0,,
2020-01-25,Scotland,,0,,
2020-01-26,Scotland,,0,,
2020-01-27,Scotland,,0,,
2020-01-28,Scotland,,0,,
2020-01-29,Scotland,,0,,
2020-01-30,Scotland,,0,,
2020-01-31,Scotland,,0,,
2020-02-01,Scotland,,0,,
2020-02-02,Scotland,,0,,
2020-02-03,Scotland,,0,,
2020-02-04,Scotland,,0,,
2020-02-05,Scotland,,0,,
2020-02-06,Scotland,,0,,
2020-02-07,Scotland,,0,,
2020-02-08,Scotland,,0,,
2020-02-09,Scotland,,0,,
2020-02-10,Scotland,,0,,
2020-02-11,Scotland,,0,,
2020-02-12,Scotland,,0,,
2020-02-13,Scotland,,0,,
2020-02-14,Scotland,,0,,
2020-02-15,Scotland,,0,,
2020-02-16,Scotland,,0,,
2020-02-17,Scotland,,0,,
2020-02-18,Scotland,,0,,
2020-02-19,Scotland,,0,,
2020-02-20,Scotland,,0,,
2020-02-21,Scotland,,0,,
2020-02-22,Scotland,,0,,
2020-02-23,Scotland,,0,,
2020-02-24,Scotland,,0,,
2020-02-25,Scotland,,0,,
2020-02-26,Scotland,,0,,
2020-02-27,Scotland,,0,,
2020-02-28,Scotland,,0,,
2020-02-29,Scotland,,0,,
2020-03-01,Scotland,5,0,,
2020-03-02,Scotland,11,0,,
2020-03-03,Scotland,13,0,,
2020-03-04,Scotland,10,0,,
2020-03-05,Scotland,19,0,,
2020-03-06,Scotland,21,0,,
2020-03-07,Scotland,10,1.6000000000000000888,,
2020-03-08,Scotland,12,1.8000000000000000444,,
2020-03-09,Scotland,19,1.8999999999999999112,,
2020-03-10,Scotland,30,2.2000000000000001776,,
2020-03-11,Scotland,27,2.5,,
2020-03-12,Scotland,24,2.6000000000000000888,,
2020-03-13,Scotland,25,2.7000000000000001776,,
2020-03-14,Scotland,22,2.8999999999999999112,,
2020-03-15,Scotland,17,3,,
2020-03-16,Scotland,31,3.2000000000000001776,,
2020-03-17,Scotland,42,3.3999999999999999112,,
2020-03-18,Scotland,43,3.7000000000000001776,,6
2020-03-19,Scotland,41,4,,11
2020-03-20,Scotland,72,4.9000000000000003553,,16
2020-03-21,Scotland,62,5.5999999999999996447,,20
2020-03-22,Scotland,52,6.2999999999999998224,,23
2020-03-23,Scotland,95,7.4000000000000003553,,30
2020-03-24,Scotland,98,8.5,,42
2020-03-25,Scotland,123,9.9000000000000003553,,52
2020-03-26,Scotland,155,12,,57
2020-03-27,Scotland,148,13.400000000000000355,404,72
2020-03-28,Scotland,155,15.099999999999999645,511,81
2020-03-29,Scotland,137,16.699999999999999289,565,95
2020-03-30,Scotland,191,18.399999999999998579,627,108
2020-03-31,Scotland,184,20,752,135
2020-04-01,Scotland,214,21.699999999999999289,815,147
2020-04-02,Scotland,169,21.899999999999998579,910,162
2020-04-03,Scotland,212,23.100000000000001421,1037,176
2020-04-04,Scotland,153,23.100000000000001421,1107,192
2020-04-05,Scotland,161,23.5,1204,197
2020-04-06,Scotland,202,23.699999999999999289,1262,199
2020-04-07,Scotland,171,23.5,1328,199
2020-04-08,Scotland,158,22.399999999999998579,1415,210
2020-04-09,Scotland,130,21.699999999999999289,1440,212
2020-04-10,Scotland,118,20,1461,207
2020-04-11,Scotland,79,18.699999999999999289,1467,212
2020-04-12,Scotland,85,17.300000000000000711,1487,221
2020-04-13,Scotland,102,15.400000000000000355,1482,211
2020-04-14,Scotland,101,14.099999999999999645,1514,196
2020-04-15,Scotland,98,13.099999999999999645,1486,195
2020-04-16,Scotland,98,12.5,1479,196
2020-04-17,Scotland,109,12.300000000000000711,1487,189
2020-04-18,Scotland,74,12.199999999999999289,1501,182
2020-04-19,Scotland,58,11.699999999999999289,1520,174
2020-04-20,Scotland,68,11.099999999999999645,1520,169
2020-04-21,Scotland,70,10.5,1472,166
2020-04-22,Scotland,63,9.9000000000000003553,1432,155
2020-04-23,Scotland,67,9.3000000000000007105,1423,148
2020-04-24,Scotland,91,9,1383,141
2020-04-25,Scotland,44,8.4000000000000003553,1385,140
2020-04-26,Scotland,39,8.0999999999999996447,1382,133
2020-04-27,Scotland,76,8.1999999999999992895,1387,134
2020-04-28,Scotland,71,8.3000000000000007105,1359,126
2020-04-29,Scotland,50,8,1363,114
2020-04-30,Scotland,57,7.7999999999999998224,1324,109
2020-05-01,Scotland,56,7.2000000000000001776,1302,110
2020-05-02,Scotland,46,7.2000000000000001776,1277,108
2020-05-03,Scotland,40,7.2000000000000001776,1266,99
2020-05-04,Scotland,53,6.7999999999999998224,1279,99
2020-05-05,Scotland,40,6.2999999999999998224,1225,104
2020-05-06,Scotland,46,6.2000000000000001776,1204,89
2020-05-07,Scotland,36,5.7999999999999998224,1199,86
2020-05-08,Scotland,33,5.4000000000000003553,1168,84
2020-05-09,Scotland,20,4.9000000000000003553,1165,93
2020-05-10,Scotland,27,4.7000000000000001776,1132,82
2020-05-11,Scotland,33,4.2999999999999998224,1145,80
2020-05-12,Scotland,37,4.2000000000000001776,1131,81
2020-05-13,Scotland,27,3.8999999999999999112,1101,66
2020-05-14,Scotland,28,3.7999999999999998224,1100,71
2020-05-15,Scotland,33,3.7999999999999998224,1066,71
2020-05-16,Scotland,18,3.7000000000000001776,1011,59
2020-05-17,Scotland,9,3.3999999999999999112,1007,59
2020-05-18,Scotland,27,3.2999999999999998224,1005,63
